,frame,person_id,x,y,w,h,age,gender
151,75,2,131,109,119,119,48.0,Male
152,76,1,593,36,120,120,39.0,Male
153,76,2,132,110,119,119,48.0,Male
154,77,1,593,37,120,120,39.0,Male
155,77,2,132,110,118,118,48.0,Male
156,78,1,590,37,122,122,39.0,Male
157,78,2,132,110,119,119,48.0,Male
158,79,1,590,38,122,122,39.0,Male
159,79,2,128,108,124,124,48.0,Male
160,80,1,591,40,120,120,39.0,Male
161,80,2,132,110,120,120,44.0,Male
162,81,1,590,42,119,119,46.0,Male
163,81,2,136,114,115,115,53.0,Male
164,82,1,592,45,114,114,53.0,Male
165,82,2,137,112,119,119,53.0,Male
166,83,1,587,43,122,122,53.0,Male
167,83,2,141,115,114,114,53.0,Male
168,84,1,590,46,118,118,53.0,Male
169,84,2,144,116,113,113,59.0,Male
170,85,1,589,47,119,119,48.0,Male
171,85,2,142,118,117,117,53.0,Male
172,86,1,588,52,120,120,53.0,Male
173,86,2,152,122,111,111,53.0,Male
174,87,1,587,54,120,120,53.0,Male
175,87,2,155,123,111,111,52.0,Male
176,88,1,585,52,124,124,53.0,Male
177,88,2,156,124,113,113,48.0,Male
178,89,1,585,56,123,123,53.0,Male
179,89,2,157,126,115,115,48.0,Male
180,90,1,586,57,123,123,53.0,Male
181,90,2,155,120,128,128,48.0,Male
182,91,1,587,63,119,119,48.0,Male
183,91,2,169,126,122,122,48.0,Male
184,92,1,585,62,126,126,48.0,Male
185,92,2,170,127,122,122,48.0,Male
186,93,1,582,63,127,127,44.0,Male
187,93,2,170,127,122,122,48.0,Male
188,94,1,582,65,126,126,44.0,Male
189,94,2,177,133,115,115,48.0,Male
190,95,1,582,68,123,123,39.0,Male
191,95,2,179,130,124,124,48.0,Male
192,96,1,582,72,124,124,39.0,Male
193,96,2,187,126,131,131,48.0,Male
194,96,211,461,175,75,75,46.0,Female
195,97,1,585,76,119,119,48.0,Male
196,97,2,185,129,131,131,52.0,Male
197,97,211,463,173,75,75,39.0,Male
198,98,1,581,77,122,122,44.0,Male
199,98,2,186,132,127,127,48.0,Male
200,98,211,463,173,75,75,37.0,Male
201,99,1,581,78,123,123,44.0,Male
202,99,2,195,133,123,123,48.0,Male
203,99,211,463,173,75,75,37.0,Male
